Budget: 100
Time: 09:00 - 17:00 (total of 480 minutes)
Genre: thrill
Food: yes
Starting coordinates: (37.423580, -122.170733)
         63420231 function calls (63395977 primitive calls) in 159.559 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:347(Formatter)
        1    0.000    0.000    0.000    0.000 __init__.py:349(_CountryNameDict)
        4    0.000    0.000    0.000    0.000 __init__.py:350(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:357(ContextualVersionConflict)
        4    0.000    0.000    0.000    0.000 __init__.py:360(_FuncPtr)
        2    0.000    0.000    0.000    0.000 __init__.py:367(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:370(DistributionNotFound)
        1    0.000    0.000    0.000    0.000 __init__.py:374(_FixedOffset)
        3    0.000    0.000    0.000    0.000 __init__.py:376(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:38(_RouteClassAttributeToGetattr)
     4200    0.003    0.000    0.003    0.000 __init__.py:383(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:389(PyDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:391(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:397(UnknownExtra)
        1    0.000    0.000    0.000    0.000 __init__.py:398(WinDLL)
       33    0.000    0.000    0.000    0.000 __init__.py:398(__setattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:4(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:4(VendorImporter)
        1    0.000    0.000    0.000    0.000 __init__.py:407(HRESULT)
        3    0.000    0.000    0.000    0.000 __init__.py:408(register_loader_type)
        1    0.072    0.072    2.601    2.601 __init__.py:42(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:420(OleDLL)
        1    0.000    0.000    0.000    0.000 __init__.py:429(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:430(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:433(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:447(get_build_platform)
        2    0.000    0.000    0.000    0.000 __init__.py:47(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:472(_get_mixins_)
        4    0.000    0.000    0.000    0.000 __init__.py:49(normalize_encoding)
        3    0.000    0.000    0.000    0.000 __init__.py:494(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:495(CFunctionType)
        5    0.007    0.001    0.007    0.001 __init__.py:5(<module>)
     4203    0.002    0.000    0.002    0.000 __init__.py:50(__get__)
        1    0.000    0.000    0.000    0.000 __init__.py:503(BufferingFormatter)
        3    0.000    0.000    0.000    0.000 __init__.py:519(_find_new_)
        1    0.000    0.000    0.000    0.000 __init__.py:545(Filter)
        1    0.000    0.000    0.000    0.000 __init__.py:558(IMetadataProvider)
        1    0.000    0.000    0.000    0.000 __init__.py:582(Filterer)
        1    0.000    0.000    0.000    0.000 __init__.py:582(IResourceProvider)
       10    0.000    0.000    0.000    0.000 __init__.py:587(__init__)
        1    0.040    0.040    1.572    1.572 __init__.py:6(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:610(WorkingSet)
        1    0.000    0.000    0.653    0.653 __init__.py:613(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:62(_is_descriptor)
        1    0.000    0.000    0.653    0.653 __init__.py:626(_build_master)
        1    0.000    0.000    0.000    0.000 __init__.py:63(install)
        2    0.000    0.000    0.000    0.000 __init__.py:646(_addHandlerRef)
        1    0.000    0.000    0.000    0.000 __init__.py:656(Handler)
